Base	%GC
1	51.69549351113819
2	39.1419750670641
3	44.192421574720306
4	47.80530359430229
5	48.35919251824062
6	49.5361303603573
7	49.15606436287205
8	46.876108872115
9	48.39702365539131
10-14	49.206398277879956
15-19	49.79990640972966
20-24	49.644070715868644
25-29	49.79644596494758
30-34	50.011349600290814
35-39	49.97138737089779
40-44	49.95395355886968
45-49	50.069911951918144
50-54	50.05554484506719
55-59	50.08874562635687
60-64	50.1488580813815
65-69	50.09124982651888
70-74	50.124601505856845
75-79	50.1566843788303
80-84	50.0845850398294
85-89	50.12548363202204
90-94	50.201003638290786
95-99	50.14421619232719
100-101	50.30731564994607
