Base	N-Count
1	0.009416943997244763
2	0.0022430308817557878
3	0.0
4	0.0026736549539916037
5	0.0014196397985796125
6	2.4843696475143216E-4
7	0.0
8	3.0758862302558275E-5
9	1.1830331654830105E-4
10-14	1.348657808650632E-4
15-19	4.637490008693401E-5
20-24	4.7463290599178377E-4
25-29	0.005776987553686636
30-34	0.006723887299339239
35-39	0.014147183806112032
40-44	0.012225937945367624
45-49	0.004929462593934608
50-54	8.849088077812917E-4
55-59	0.004442526143021801
60-64	0.015322172346069758
65-69	0.044981287017995024
70-74	0.04440018112710977
75-79	0.008705704458156377
80-84	0.0017508890849148554
85-89	1.9969599833353217E-4
90-94	7.817483157511732E-4
95-99	7.883733014778781E-4
100-101	4.850435978480343E-4
