Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.599388390781975	33.0	31.0	34.0	30.0	34.0
2	31.81348306211194	34.0	31.0	34.0	30.0	34.0
3	31.825882858611305	34.0	31.0	34.0	30.0	34.0
4	35.30817919318179	37.0	35.0	37.0	33.0	37.0
5	35.279048373800244	37.0	35.0	37.0	33.0	37.0
6	35.29210264790742	37.0	35.0	37.0	33.0	37.0
7	35.28186661906772	37.0	35.0	37.0	33.0	37.0
8	35.27662800624698	37.0	35.0	37.0	32.0	37.0
9	36.85207462137851	39.0	37.0	39.0	33.0	39.0
10	37.04224379086226	39.2	37.2	39.4	32.8	39.4
11	37.89989065934272	40.0	38.0	41.0	32.8	41.0
12	37.598117945661954	40.0	37.6	41.0	32.0	41.0
13	37.219159889345704	40.0	37.0	41.0	31.0	41.0
14	37.11153538255814	40.0	37.0	41.0	30.8	41.0
15	36.70001801522905	39.4	36.2	41.0	30.0	41.0
16	36.12740182587446	39.0	35.2	40.6	28.8	41.0
17	35.34260799945259	38.0	34.4	40.0	26.8	41.0
18	34.408285467417116	37.0	33.4	39.6	26.2	40.6
19	34.43596517358574	36.6	33.8	39.6	26.4	41.0
20	33.38234936758123	35.2	33.0	38.6	25.6	40.4
21	32.283793917326136	35.0	32.0	36.6	23.2	39.4
22	31.25966961858679	34.8	31.0	35.4	20.4	38.0
23	30.291946615297157	34.0	30.2	35.0	16.2	36.4
24	29.369260383280977	34.0	29.2	35.0	6.6	35.4
25	28.375932524709658	33.4	27.8	35.0	2.0	35.0
26	27.22250515695987	33.0	25.6	35.0	2.0	35.0
27	25.66119509726449	32.4	21.8	34.8	2.0	35.0
28	23.145798143025964	30.5	2.0	33.5	2.0	34.5
