GC Content	Count
0	49167.0
1	25524.5
2	1871.5
3	2033.5
4	2221.5
5	2656.5
6	2687.5
7	2147.0
8	1894.5
9	2032.5
10	2574.5
11	3221.5
12	4237.0
13	5487.0
14	6042.5
15	6680.0
16	9453.5
17	14779.5
18	20537.5
19	26648.5
20	33965.5
21	42809.5
22	52631.0
23	65301.0
24	84760.5
25	106546.0
26	129082.5
27	156940.0
28	187344.0
29	209591.0
30	237959.5
31	269029.0
32	290309.5
33	311885.0
34	334570.0
35	350580.5
36	366319.0
37	388845.5
38	413832.0
39	448144.0
40	503532.0
41	579798.5
42	671057.0
43	792480.5
44	946992.0
45	1126371.5
46	1338839.5
47	1577029.5
48	1815745.5
49	2047139.5
50	2258458.5
51	2433084.5
52	2559486.0
53	2614405.5
54	2589513.5
55	2483483.0
56	2293268.5
57	2030067.0
58	1727096.5
59	1416634.0
60	1114901.0
61	841716.0
62	609686.0
63	425922.0
64	290311.5
65	192151.5
66	123543.5
67	78525.0
68	48938.0
69	30080.5
70	18934.0
71	12119.5
72	7631.5
73	4900.0
74	3315.5
75	2292.5
76	1684.5
77	1244.0
78	866.5
79	622.5
80	481.0
81	388.0
82	315.0
83	240.5
84	199.5
85	167.0
86	127.5
87	109.0
88	92.0
89	66.5
90	54.5
91	54.0
92	47.0
93	42.5
94	41.5
95	37.0
96	34.0
97	29.5
98	28.0
99	27.0
100	23.0
