Base	%GC
1	51.869883219346434
2	39.05908214775546
3	44.312907624656624
4	47.989978381307075
5	48.364165697108675
6	49.63135261973517
7	49.20352827746981
8	46.87046963310165
9	48.41142318794468
10-14	49.19626686485821
15-19	49.78918936148069
20-24	49.649073525644425
25-29	49.78234525505293
30-34	50.000634390903265
35-39	49.959627229910154
40-44	49.9789363694286
45-49	50.105647580106286
50-54	50.04887968846585
55-59	50.071772863450526
60-64	50.12141994877466
65-69	50.06908186796794
70-74	50.111673937421365
75-79	50.16023061142505
80-84	50.09952788111206
85-89	50.14714021283518
90-94	50.23508660041481
95-99	50.193406096774474
100-101	50.43748746240742
