Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.0567581774555	33.0	31.0	34.0	30.0	34.0
2	32.27064687066202	34.0	31.0	34.0	30.0	34.0
3	32.31257864867755	34.0	31.0	34.0	30.0	34.0
4	35.795463584893355	37.0	35.0	37.0	35.0	37.0
5	35.73281755444896	37.0	35.0	37.0	35.0	37.0
6	35.729214684389454	37.0	35.0	37.0	33.0	37.0
7	35.71529092036273	37.0	35.0	37.0	33.0	37.0
8	35.702595240695416	37.0	35.0	37.0	33.0	37.0
9	37.35927749075145	39.0	37.0	39.0	34.0	39.0
10	37.56469475204578	39.2	37.2	39.4	34.0	39.4
11	38.50097778140272	40.0	38.0	41.0	34.0	41.0
12	38.24647845120646	40.0	38.0	41.0	33.6	41.0
13	37.862430928938764	40.0	38.0	41.0	32.8	41.0
14	37.55437682221127	40.0	37.2	41.0	31.8	41.0
15	37.23855808434183	40.0	37.0	41.0	31.0	41.0
16	36.90008829932838	39.2	36.0	41.0	30.8	41.0
17	36.36425556638235	39.0	35.2	40.8	29.6	41.0
18	35.489059621296896	37.8	34.4	40.0	28.6	41.0
19	34.98611276035856	36.6	34.0	39.6	28.2	41.0
20	33.90876728940846	35.2	33.2	38.6	26.4	40.6
21	32.82405829289992	35.0	32.6	36.6	25.6	39.4
22	31.811444552026206	35.0	31.4	35.4	23.6	38.2
23	30.8209189390932	34.0	30.8	35.0	20.4	36.2
24	30.283758956347867	34.0	30.2	35.0	18.4	35.6
25	29.416502621238607	34.0	29.4	35.0	10.2	35.0
26	28.378693776067088	33.4	28.2	35.0	2.0	35.0
27	26.99336720678326	33.0	25.8	35.0	2.0	35.0
28	24.51865953012131	31.0	20.5	34.0	2.0	35.0
