GC Content	Count
0	980.0
1	943.0
2	1007.0
3	1352.0
4	1673.5
5	2813.0
6	3162.5
7	2244.0
8	1962.5
9	2385.0
10	3676.0
11	5180.5
12	7116.0
13	9730.0
14	10977.5
15	12194.0
16	17933.5
17	28616.5
18	39882.0
19	51743.5
20	66453.0
21	84793.0
22	104234.5
23	129125.0
24	167761.0
25	211235.0
26	256105.0
27	311317.0
28	371517.5
29	416079.5
30	473876.0
31	536132.5
32	578158.0
33	621812.5
34	669071.0
35	699988.0
36	729330.5
37	774204.5
38	823851.5
39	890666.5
40	999442.5
41	1152857.0
42	1335733.0
43	1577225.0
44	1885426.0
45	2243556.0
46	2670800.5
47	3147988.5
48	3624856.5
49	4090051.5
50	4518028.5
51	4873964.0
52	5128412.5
53	5237665.5
54	5187310.0
55	4973425.5
56	4587477.5
57	4056586.5
58	3446478.0
59	2821228.5
60	2216476.5
61	1668599.5
62	1205146.5
63	839138.5
64	569015.0
65	375162.5
66	240724.5
67	152592.5
68	94840.0
69	58044.0
70	36550.0
71	23421.0
72	14853.0
73	9604.5
74	6453.0
75	4443.5
76	3219.5
77	2312.5
78	1585.0
79	1145.5
80	874.0
81	678.5
82	542.5
83	407.0
84	313.5
85	253.5
86	189.0
87	148.0
88	122.0
89	92.5
90	75.0
91	69.0
92	56.0
93	47.5
94	47.0
95	41.5
96	36.5
97	31.0
98	29.5
99	29.5
100	26.5
