Base	%GC
1	52.005486494735486
2	39.09935757823431
3	44.397153431718976
4	48.01720133958128
5	48.377675246149295
6	49.63857398560736
7	49.23248528799359
8	46.92879624388017
9	48.41780649706111
10-14	49.197849345543865
15-19	49.76808669031257
20-24	49.60842853670842
25-29	49.72240379319757
30-34	49.922077767941765
35-39	49.874940856326404
40-44	49.8881474244006
45-49	49.996780861473425
50-54	49.950645509699875
55-59	49.99258708002577
60-64	50.02863722497214
65-69	49.9600276215181
70-74	49.98603788022013
75-79	50.03958277170344
80-84	49.96203850329051
85-89	49.989504779612574
90-94	50.056882214071216
95-99	49.98581903939469
100-101	50.05917278142946
