GC Content	Count
0	1005.0
1	1009.0
2	1002.0
3	1186.5
4	1446.0
5	2573.5
6	2845.0
7	1829.0
8	1503.0
9	1875.5
10	3050.5
11	4389.5
12	6181.0
13	8647.0
14	9621.5
15	10503.5
16	15907.0
17	26190.0
18	36924.5
19	48091.0
20	61831.5
21	78944.5
22	97010.5
23	120271.0
24	156953.5
25	198439.0
26	240832.5
27	293335.5
28	350962.0
29	391459.5
30	445688.0
31	504950.0
32	543241.0
33	584145.0
34	628717.5
35	657002.0
36	684282.0
37	726608.5
38	773601.0
39	837189.0
40	942308.5
41	1091631.5
42	1268343.5
43	1503247.0
44	1804482.0
45	2152250.5
46	2568595.5
47	3035382.5
48	3499355.5
49	3951268.5
50	4365996.0
51	4711446.5
52	4954468.5
53	5051589.0
54	4993664.0
55	4772730.5
56	4384221.5
57	3852581.0
58	3244490.0
59	2628761.5
60	2038716.0
61	1509604.5
62	1066447.0
63	721981.5
64	473548.0
65	299489.0
66	182047.5
67	108134.5
68	61741.0
69	33871.0
70	19017.5
71	10715.5
72	5767.5
73	3000.5
74	1487.0
75	804.5
76	595.5
77	409.0
78	187.5
79	66.5
80	39.5
81	21.5
82	5.0
83	1.5
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	2.0
98	10.5
99	62.5
100	66.5
