seq	len	coverage	depth
11002	127	0.992125984251969	2.8740157480315
16995	127	0	0
5006	177	1	1.99435028248588
3074	78	1	1
10309	173	0	0
12317	127	0	0
7652	167	1	1.9940119760479
17050	124	0	0
12663	131	0	0
20712	66713	0.887473206121745	1.96048746121446
1387	71	0	0
20620	31939	0.998434515795736	2.98625504868656
18100	67	0	0
20006	58001	0.746831951173256	1.80714125618524
17773	65	0	0
14132	83	0	0
13938	70	0	0
17696	85	0	0
15108	71	0	0
7004	86	0	0
8419	67	0.91044776119403	0.91044776119403
1250	117	0	0
18471	120	0	0
14109	96	0	0
2507	132	1	1.95454545454545
17156	74	0	0
19938	722	0.578947368421053	0.578947368421053
14614	64	0	0
5810	65	0	0
19757	1352	1	6.04881656804734
15835	65	0	0
6531	119	0.420168067226891	0.420168067226891
10441	86	0	0
3109	177	0.994350282485876	0.994350282485876
16355	107	0	0
14816	145	1	1
3919	64	0	0
18287	127	1	5.99212598425197
14820	94	1	5.67021276595745
14157	70	0	0
5060	70	0	0
29	64	0	0
16535	93	0	0
10805	108	1	1
6541	75	0	0
350	76	0	0
11647	68	0	0
11051	127	0.496062992125984	0.496062992125984
9834	96	0	0
4087	127	1	11.9527559055118
18464	66	0	0
12007	77	0	0
1969	127	0	0
20226	1185	1	6.70801687763713
4358	102	0	0
20834	102017	0.950027936520384	3.0923669584481
18129	142	0	0
10701	119	0	0
16410	79	0	0
15101	191	1	2.96858638743455
15021	71	0	0
7627	96	0	0
1546	140	0	0
16622	127	0.992125984251969	0.992125984251969
11648	67	0	0
9208	82	0	0
16084	67	0	0
3844	71	0	0
20503	40727	0.905983745426867	2.03999803570113
825	75	0	0
917	115	0	0
15874	115	1	2.95652173913043
13766	87	0	0
18391	126	0	0
3889	221	1	1.97285067873303
7398	126	1	12.8412698412698
18675	116	1	29.7068965517241
15085	68	0	0
8694	148	0	0
14467	127	0	0
9985	68	0	0
3574	128	0	0
18931	127	1	29.5196850393701
5401	72	0	0
3475	69	0	0
4319	80	0	0
18588	189	0.978835978835979	0.978835978835979
10526	121	0	0
16764	123	1	1
13760	100	0	0
14363	545	1	1
13253	127	0	0
5531	75	0	0
3238	80	0	0
2274	138	0	0
20608	513	1	36.8538011695906
17538	110	0.9	0.9
14479	170	1	22.9588235294118
11798	82	0	0
16130	84	0	0
13020	117	0	0
5508	64	0	0
4261	69	0	0
2088	80	0	0
12655	90	0	0
20778	24313	0.702792744622219	1.53633858429647
17426	144	0.979166666666667	0.979166666666667
19552	13339	1	3.38728540370343
16116	166	1	3.92168674698795
1354	199	0.994974874371859	0.994974874371859
9440	147	0.993197278911565	0.993197278911565
7479	64	0	0
3239	67	0	0
2359	120	0	0
10380	117	1	12.6666666666667
20731	3996	1	3.91716716716717
19213	1735	0.756772334293948	0.756772334293948
5310	70	0	0
15700	179	1	1.98324022346369
8735	75	0	0
14694	598	0	0
16375	64	0	0
14850	357	0	0
1887	142	0	0
4258	99	0	0
16006	70	0	0
4993	67	0	0
11549	70	1	1
7098	127	1	34.5984251968504
2705	215	1	3
19948	26753	0.847269465106717	2.02313759204575
20855	1630	1	2.56503067484663
4475	70	0	0
15937	116	0	0
8948	122	0	0
12882	3792	1	3.17616033755274
5970	80	0	0
3540	75	0	0
14891	70	0	0
13581	144	0	0
12391	127	0	0
4704	96	0	0
18762	65	0	0
8201	148	0.97972972972973	0.97972972972973
6578	65	0	0
6076	85	0	0
19583	3629	0.279140259024525	0.279140259024525
3419	123	1	16.3414634146341
18827	68	0	0
2654	69	0	0
13954	64	0	0
10430	143	0	0
4209	115	0	0
18339	159	0.987421383647799	0.987421383647799
10052	78	0	0
17367	96	0	0
13949	98	0	0
18447	121	1	35.8099173553719
7514	167	0.958083832335329	0.958083832335329
8008	79	0	0
11383	82	0	0
5907	110	1	16.6272727272727
11375	195	0	0
10300	125	0	0
7466	141	1	1
20716	80201	0.941883517661875	3.67414371391878
14925	158	0.974683544303797	0.974683544303797
20644	34118	0.875051292572835	3.31522949762589
8806	78	0	0
10509	64	0	0
15026	82	1	1
7184	85	0	0
6824	127	1	26.7795275590551
15705	89	0	0
6101	85	0	0
4570	148	0	0
1	66	0	0
16429	64	0	0
19252	2395	1	3.26597077244259
7950	186	0	0
18133	127	1	29.6771653543307
661	68	0	0
2719	166	1	45.7710843373494
2690	127	1	29.2992125984252
8537	83	0	0
581	127	0	0
18528	67	0.970149253731343	0.970149253731343
20059	14163	0.735649226858716	2.73437830968015
4676	75	0	0
6676	119	0	0
4328	85	0	0
3862	75	0	0
20466	1536	1	1.265625
9762	127	1	33.5275590551181
18971	83	1	3
1991	178	0	0
927	159	0.949685534591195	0.949685534591195
12230	124	0	0
8214	143	0	0
12565	3361	1	2.69384111871467
18965	81	0	0
18120	122	0	0
12764	76	0	0
13817	102	1	4.91176470588235
11387	64	0	0
2302	138	0	0
4827	93	0	0
10447	69	1	1
3849	68	0	0
2745	125	0	0
652	71	0	0
8776	65	0	0
9598	157	0	0
10368	88	0.977272727272727	0.977272727272727
12961	127	1	2.91338582677165
4445	174	0	0
4405	104	0	0
15130	70	0	0
20828	29150	1	3.18579759862779
5671	76	0	0
844	70	0	0
12155	109	1	5.77064220183486
19002	118	0.533898305084746	0.533898305084746
18869	66	0	0
4447	127	1	18.7952755905512
10344	170	0	0
13628	118	0	0
9583	99	0	0
775	288	1	39.0659722222222
20594	36094	0.928935557156314	2.8586191610794
8244	127	0	0
20	83	0	0
9808	127	1	1.96850393700787
2376	105	0	0
7687	220	1	1.95454545454545
17221	127	1	40.511811023622
7750	64	0	0
6172	65	0	0
3100	127	0	0
3787	127	0	0
4304	184	1	1
3562	67	0	0
16420	127	1	32.6141732283465
11806	138	0.971014492753623	0.971014492753623
468	106	0	0
9012	312	0.996794871794872	1.99038461538462
14853	70	0	0
19885	678	1	2
19867	47827	0.719635352415999	1.49739686787798
294	65	0	0
413	127	0	0
15077	70	0	0
12430	114	0	0
11289	87	0	0
17264	196	1	5.00510204081633
9149	70	0	0
9109	107	1	2
14376	171	0.994152046783626	1.7953216374269
4582	121	0	0
1981	151	0	0
10656	127	1	1
2081	94	0	0
20546	82994	0.892642841651204	2.40776441670482
17029	90	0	0
2522	70	0	0
19615	65435	0.949736379613357	3.05831741422786
20749	21819	0.886979238278565	2.78335395755992
15061	245	0	0
14703	119	0	0
13442	127	1	1
4235	67	0	0
5922	64	0	0
5349	127	0	0
13977	108	0	0
13425	73	0	0
17022	138	0	0
13539	78	0	0
7777	155	1	31.4451612903226
9973	128	1	1
11146	127	0	0
2583	199	0	0
19232	5249	1	3.87616688893123
13430	98	0	0
2589	166	0	0
15269	71	0	0
9431	78	0	0
7087	83	0	0
14859	123	0	0
15486	89	0	0
13512	79	1	2
13227	111	1	1
1664	64	0	0
20553	39209	0.899334336504374	2.65227371266801
191	121	0	0
4613	68	0	0
17612	152	0.993421052631579	1.95394736842105
20765	86899	0.902990828433008	2.58004119725198
16887	66	0	0
16427	127	1	13.740157480315
1684	109	1	1.97247706422018
5097	127	0	0
20271	33042	0.88659887416016	2.06061981720235
15728	135	0	0
11524	127	0.952755905511811	0.952755905511811
8457	75	0	0
20763	90398	0.869952875063608	2.56625146574039
13553	10143	0.944099378881988	1.84955141476881
262	133	1	12.5263157894737
16273	139	0.848920863309353	0.848920863309353
12983	150	0	0
6959	64	0	0
4422	11319	1	2.56224048060783
9543	65	0	0
6257	71	0	0
9206	67	0	0
6109	121	0	0
3750	103	0	0
3114	199	0	0
17913	127	0	0
10161	71	0	0
4649	127	0	0
19227	1227	0.998370008149959	3.50285248573757
9504	81	0	0
19683	10204	0.597608780870247	1.23725989807918
26	151	0	0
6513	94	0	0
4923	64	0	0
19592	22944	0.957374476987448	4.37238493723849
12334	70	0	0
526	76	0	0
1901	127	1	16.755905511811
19415	10925	1	3.40659038901602
20821	10028	1	3.54357798165138
10578	91	0	0
6218	127	0	0
18402	136	0	0
6568	78	0	0
19407	4612	1	2.50021682567216
6997	127	1	47.2913385826772
16207	117	0	0
3054	74	1	1
1182	73	0	0
7963	127	0	0
6744	65	0	0
142	66	1	1
20424	3088	0.648316062176166	1.10168393782383
16069	74	0	0
1510	166	0	0
5392	85	1	3.71764705882353
13172	97	0	0
10968	69	0	0
3641	133	0	0
19464	75842	0.957516943118589	3.40157168851032
13833	120	0	0
3585	196	0	0
12447	132	0	0
17182	163	1	1
3170	135	0	0
20119	805	0.993788819875776	1.92546583850932
3923	68	0	0
19897	48851	0.972303535239811	3.31342244785163
4128	90	1	1
3730	100	0	0
20628	28879	0.9591744866512	3.00363585996745
3665	68	0	0
5981	123	0	0
11981	177	0	0
8891	127	0.992125984251969	0.992125984251969
4343	107	0	0
14685	241	0	0
9955	127	1	9.75590551181102
19963	26586	0.9438802377191	2.94843150530354
13534	85	1	5.94117647058824
659	70	0	0
20122	592	0	0
20096	38567	0.964140327222755	1.99097674177406
16472	64	0	0
14475	71	0	0
13970	112	0	0
19869	5272	0.713012139605463	1.65819423368741
8011	93	0	0
16245	118	0	0
16302	117	0.94017094017094	0.94017094017094
10751	93	0	0
7530	121	0	0
18881	74	0	0
8724	157	1	27.8662420382166
8848	164	0	0
17057	127	0	0
12679	71	0	0
6335	68	0	0
20341	1705	1	3.55483870967742
4115	127	1	1
16356	71	0	0
12687	64	1	4.328125
278	127	0.905511811023622	0.905511811023622
8634	127	1	5.74015748031496
1843	74	1	13.6486486486486
15515	129	1	1
16509	127	0.858267716535433	0.858267716535433
12875	76	0	0
5809	82	0	0
14080	126	1	11.8492063492063
17685	72	0	0
8857	162	0	0
7361	69	0	0
1294	188	0	0
20242	21092	0.774511663189835	3.08766356912574
9081	66	0	0
7967	67	0	0
2712	156	0	0
1562	104	1	16.7980769230769
7759	64	0	0
7352	64	0	0
782	74	0	0
16139	115	0	0
14437	97	0.948453608247423	0.948453608247423
15230	64	0	0
