seq	len	coverage	depth
C7028_58.0|ref0002848	117	0.692307692307692	0.692307692307692
C8217_53.0|ref0002239	146	0.924657534246575	0.924657534246575
C8159__4.0|ref0000957	145	0	0
scaffold289_54.9|ref0000423	1558	1	2.67779204107831
C14039_59.0|ref0002117	1327	1	1.6948003014318
C5970_63.0|ref0001791	103	0	0
C5652_63.0|ref0001390	100	0	0
scaffold162_57.9|ref0000480	16089	0.996830132388589	6.02411585555348
C7048_63.0|ref0002435	117	0	0
C10577_52.0|ref0000171	228	1	3.96052631578947
C6642_63.0|ref0000034	110	1	1
C7568_63.0|ref0000666	130	0.946153846153846	0.946153846153846
C8393_42.0|ref0000084	150	1	1.52666666666667
scaffold90_58.3|ref0000644	752	0.996010638297872	1.9813829787234
C6578_222.0|ref0001082	109	1	8.60550458715596
C9265_62.0|ref0000792	172	0	0
scaffold449_54.0|ref0002541	20729	1	5.36181195426697
C8411_51.0|ref0001328	151	0	0
C5774_63.0|ref0001769	101	0	0
C8181_10.0|ref0000232	146	1	3.21232876712329
C5834_53.0|ref0001989	102	0	0
C7540_63.0|ref0002310	129	0	0
C6680_177.0|ref0002050	111	0	0
C5610_246.0|ref0000971	100	0	0
C12809_63.0|ref0000289	529	1	5.05671077504726
C7034_63.0|ref0001648	117	0	0
C6282_58.0|ref0000415	106	0	0
C8009_63.0|ref0002872	142	0.669014084507042	0.669014084507042
scaffold288_53.9|ref0000234	57090	0.983219478017166	5.66109651427571
scaffold366_52.3|ref0001979	4597	1	7.14335436154014
scaffold364_60.7|ref0001969	420	1	7.55
C7690_63.0|ref0000292	133	1	1
C10149_62.0|ref0002298	208	0.985576923076923	0.985576923076923
C6576_71.0|ref0001144	109	0	0
C10479_112.0|ref0000343	222	1	1.93243243243243
C6476_63.0|ref0002765	108	0	0
C8245_63.0|ref0000023	147	0	0
C7882_118.0|ref0001311	139	0	0
C7634_124.0|ref0001358	132	0	0
C6974_63.0|ref0000850	116	0	0
C10263_63.0|ref0001876	213	1	4.95305164319249
scaffold447_56.7|ref0000213	5163	0.995157853960875	4.37071470075538
C10689_53.0|ref0001924	233	1	1
C10973_48.0|ref0001709	249	1	1
C6044_63.0|ref0001022	103	0	0
scaffold459_51.9|ref0000714	95265	0.997218285834252	4.96028971815462
C15629_54.0|ref0000235	7291	1	6.91455218762858
C5894_63.0|ref0002713	102	0	0
C6550_63.0|ref0002185	109	0	0
C10809_63.0|ref0002249	240	1	5.125
C8653_41.0|ref0001615	155	0	0
C7926_62.0|ref0002686	140	0	0
C7030_67.0|ref0000747	117	0	0
C7626_63.0|ref0002519	131	0	0
C6232_63.0|ref0001844	105	1	1
C8427_62.0|ref0001799	151	1	2.60264900662252
C8271__4.0|ref0001745	148	1	1.97972972972973
C9397_63.0|ref0001363	179	1	2.97206703910615
C8133_63.0|ref0001271	145	0	0
C5602_63.0|ref0002562	100	0	0
scaffold222_81.2|ref0000489	505	1	8.35247524752475
C7426_63.0|ref0001628	125	0	0
C8613_183.0|ref0001577	154	1	5.92857142857143
C7852_62.0|ref0001935	138	0	0
C7969_63.0|ref0001843	141	0	0
C11389_82.0|ref0001681	278	0.956834532374101	1.9136690647482
C6688_242.0|ref0001303	111	0	0
C8615_15.0|ref0001350	154	0.525974025974026	0.525974025974026
C14643_55.0|ref0000705	2492	1	6.06139646869984
scaffold367_59.5|ref0001981	626	1	14.5830670926518
C8311_63.0|ref0001361	149	1	1.9261744966443
C6702_63.0|ref0001306	111	0	0
scaffold202_59.5|ref0000871	461	0	0
C9773_59.0|ref0002544	193	0	0
C6972_63.0|ref0002273	116	0	0
scaffold420_55.7|ref0001652	1211	0	0
C7490_58.0|ref0000842	127	0	0
C6258_63.0|ref0000249	106	0	0
scaffold22_67.2|ref0000247	515	0.996116504854369	2.02330097087379
C8413_63.0|ref0001754	151	0	0
C7322_108.0|ref0000503	123	0.975609756097561	0.975609756097561
C9005_66.0|ref0000050	163	0.969325153374233	0.969325153374233
scaffold32_51.5|ref0002807	123345	0.997640763711541	5.04983582634075
C7388_59.0|ref0002733	125	0	0
scaffold28_59.4|ref0002770	1471	1	47.9646498980286
C6304_63.0|ref0002643	106	0	0
C9023_58.0|ref0001864	163	0.987730061349693	0.987730061349693
C8007_120.0|ref0000557	142	1	7.8943661971831
C12493_152.0|ref0001563	455	1	338.650549450549
C6020_63.0|ref0002406	103	0	0
C10207_115.0|ref0001922	210	1	3.78571428571429
C7590_63.0|ref0002565	131	0	0
C7084_47.0|ref0002198	118	0.991525423728814	0.991525423728814
C8907_52.0|ref0002744	162	0	0
C15261_58.0|ref0001398	4925	0.903147208121827	3.2361421319797
C6586__4.0|ref0000783	109	0	0
C13315_61.0|ref0001202	730	1	8.33972602739726
C6542_63.0|ref0000653	109	0	0
C5932_63.0|ref0002256	102	0	0
C7236_63.0|ref0000903	121	0	0
C8601_63.0|ref0000438	154	0	0
C8395_15.0|ref0001949	150	0	0
C6124_63.0|ref0002782	104	0	0
C8241__4.0|ref0002520	147	0	0
C10057_63.0|ref0001801	204	0.990196078431373	2.47549019607843
C7762_57.0|ref0001846	135	0	0
C8655_63.0|ref0001047	155	1	1.48387096774194
C6046__4.0|ref0002820	104	0.759615384615385	1.41346153846154
C7818_63.0|ref0001392	137	0	0
C8915_46.0|ref0000290	163	0	0
scaffold466_52.2|ref0000734	18102	1	7.68334990608773
C6042_63.0|ref0000164	103	0	0
C6696_63.0|ref0000119	111	0	0
C6828_63.0|ref0000018	113	1	1.97345132743363
C8869_62.0|ref0001024	160	0	0
scaffold291_54.1|ref0001562	98688	0.983858219844358	4.32430488002594
C8729_17.0|ref0000083	156	1	56.1217948717949
C14041_84.0|ref0002721	1327	1	6.9819140919367
scaffold314_51.5|ref0002033	65091	0.996220675669447	4.4001782120416
