Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.29916628781622	33.0	31.0	34.0	31.0	34.0
2	32.51008279682381	34.0	31.0	34.0	31.0	34.0
3	32.55518153416107	34.0	31.0	34.0	31.0	34.0
4	36.054371391184276	37.0	35.0	37.0	35.0	37.0
5	35.997897750931024	37.0	35.0	37.0	35.0	37.0
6	36.00014947028689	37.0	35.0	37.0	35.0	37.0
7	35.988269267911214	37.0	35.0	37.0	35.0	37.0
8	35.97802119493426	37.0	35.0	37.0	35.0	37.0
9	37.67278059691139	39.0	38.0	39.0	35.0	39.0
10	37.90055393395367	39.2	37.4	39.4	35.2	39.4
11	38.893679254742324	40.0	38.0	41.0	35.0	41.0
12	38.67790972007191	40.0	38.0	41.0	34.2	41.0
13	38.35659945745253	40.0	38.0	41.0	34.0	41.0
14	38.11575327559834	40.0	38.0	41.0	33.2	41.0
15	37.8716060476537	40.0	37.0	41.0	33.0	41.0
16	37.60727171005213	39.8	36.8	41.0	32.0	41.0
17	37.14001177859412	39.0	35.6	40.8	31.2	41.0
18	36.31489423772201	38.2	34.8	40.0	30.6	41.0
19	35.85623876695865	37.0	34.6	39.8	30.2	41.0
20	34.8215352292352	35.4	33.8	38.8	29.0	40.6
21	33.77848552058082	35.0	33.0	36.8	27.8	39.6
22	32.80689371385613	35.0	32.2	35.4	26.2	38.2
23	31.839869423137962	34.2	31.2	35.0	25.0	36.2
24	31.33171819706659	34.0	31.0	35.0	24.0	35.8
25	30.484119921917898	34.0	30.4	35.0	20.8	35.0
26	29.453594148196327	34.0	29.2	35.0	14.0	35.0
27	28.053849698693863	33.0	27.8	35.0	2.0	35.0
28	25.498069330651425	31.5	22.5	34.5	2.0	35.0
