seq	len	coverage	depth
unplaced-203	796	0.977386934673367	1.57663316582915
unplaced-337	223	1	64.152466367713
unplaced-660	220	1	97.7727272727273
scaffold-222	6205	0.992586623690572	2.64625302175665
unplaced-129	213	1	2.94366197183099
unplaced-116	312	1	7.98397435897436
scaffold-242	68507	1	6.20361422920285
scaffold-653	18342	1	5.54486969796096
scaffold-624	15450	1	4.0210355987055
scaffold-748	16049	0.958626705713752	3.89301514113029
scaffold-722	17875	1	6.85868531468531
scaffold-529	2746	1	8.59286234522942
unplaced-580	317	1	2.9589905362776
unplaced-321	205	1	102.956097560976
unplaced-656	281	1	97.5907473309609
scaffold-806	9324	1	8.04997854997855
scaffold-471	5345	1	5.01870907390084
unplaced-366	366	1	80.4644808743169
unplaced-115	201	1	116.174129353234
unplaced-246	279	1	2.42293906810036
unplaced-145	771	1	16.1258106355383
scaffold-267	214	1	2.96728971962617
unplaced-613	664	1	4.49849397590361
scaffold-422	26193	1	5.59565532775933
scaffold-634	8892	0.787112010796221	2.9899910031489
unplaced-450	733	1	10.5197817189632
scaffold-750	4829	1	5.50735141851315
unplaced-361	201	1	63.0845771144279
scaffold-124	82139	0.999549544065547	4.54663436370056
scaffold-747	19629	1	3.58989250598604
scaffold-855	201	0.990049751243781	0.990049751243781
scaffold-38	614	0.99185667752443	0.99185667752443
scaffold-782	78597	0.938712673511712	3.73870503963256
unplaced-137	324	1	1
scaffold-810	1311	1	4.60183066361556
scaffold-101	249	1	1.96385542168675
unplaced-50	201	1	88.2537313432836
unplaced-407	213	0	0
scaffold-631	57432	0.940573199609974	4.12832567209918
scaffold-13	614	1	1.87622149837134
unplaced-155	206	0.577669902912621	0.577669902912621
scaffold-455	37598	1	5.55513591148465
scaffold-415	1216	1	24.7845394736842
unplaced-512	201	1	69.9601990049751
unplaced-464	218	1	66.545871559633
unplaced-539	967	1	5.46535677352637
unplaced-12	356	1	106.943820224719
unplaced-432	388	1	3.97938144329897
scaffold-609	4637	1	5.05952124218245
scaffold-155	1097	1	3.98814949863263
unplaced-654	237	1	63.3713080168776
scaffold-436	2382	1	3.76364399664148
scaffold-355	17058	1	4.12404736780396
unplaced-79	222	1	3.95945945945946
unplaced-492	246	1	97.6829268292683
scaffold-528	3309	1	4.81112118464793
scaffold-444	15106	1	5.84224811333245
scaffold-264	24734	1	4.72236597396297
unplaced-638	1345	1	6.22453531598513
scaffold-702	312	0.416666666666667	0.416666666666667
scaffold-235	267	0	0
unplaced-439	201	1	211.606965174129
unplaced-85	711	1	1.70042194092827
unplaced-293	239	1	48.652719665272
unplaced-86	204	1	67.8039215686274
scaffold-517	200	1	108.38
unplaced-489	369	1	61.0948509485095
